lab-1  |  * Serving Flask app 'app'
lab-1  |  * Debug mode: off
lab-1  | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
lab-1  |  * Running on all addresses (0.0.0.0)
lab-1  |  * Running on http://127.0.0.1:8000
lab-1  |  * Running on http://172.18.0.3:8000
lab-1  | [33mPress CTRL+C to quit[0m
lab-1  | 172.18.0.4 - - [08/Sep/2025 14:52:05] "GET /login HTTP/1.1" 200 -
lab-1  | 172.18.0.1 - - [08/Sep/2025 14:52:19] "[33mGET /decode-login HTTP/1.1[0m" 404 -
lab-1  | 172.18.0.1 - - [08/Sep/2025 14:52:19] "GET /login HTTP/1.1" 200 -
lab-1  | 172.18.0.1 - - [08/Sep/2025 14:52:19] "POST /login HTTP/1.1" 200 -
lab-1  | 172.18.0.1 - - [08/Sep/2025 14:52:19] "GET /login HTTP/1.1" 200 -
lab-1  | 172.18.0.1 - - [08/Sep/2025 14:52:19] "POST /login HTTP/1.1" 200 -
lab-1  | 172.18.0.1 - - [08/Sep/2025 14:52:19] "GET /upload HTTP/1.1" 200 -
lab-1  | 172.18.0.1 - - [08/Sep/2025 14:52:19] "POST /upload HTTP/1.1" 200 -
lab-1  | 172.18.0.1 - - [08/Sep/2025 14:52:19] "POST /upload HTTP/1.1" 200 -
lab-1  | 172.18.0.1 - - [08/Sep/2025 16:13:14] "GET / HTTP/1.1" 200 -
lab-1  | 172.18.0.5 - - [08/Sep/2025 16:13:15] "GET /login HTTP/1.1" 200 -
lab-1  | 172.18.0.1 - - [08/Sep/2025 16:13:20] "[33mGET /decode-login HTTP/1.1[0m" 404 -
lab-1  | 172.18.0.1 - - [08/Sep/2025 16:13:20] "GET /login HTTP/1.1" 200 -
lab-1  | 172.18.0.1 - - [08/Sep/2025 16:13:20] "POST /login HTTP/1.1" 200 -
lab-1  | 172.18.0.1 - - [08/Sep/2025 16:13:20] "GET /login HTTP/1.1" 200 -
lab-1  | 172.18.0.1 - - [08/Sep/2025 16:13:20] "POST /login HTTP/1.1" 200 -
lab-1  | 172.18.0.1 - - [08/Sep/2025 16:13:20] "GET /upload HTTP/1.1" 200 -
lab-1  | 172.18.0.1 - - [08/Sep/2025 16:13:20] "POST /upload HTTP/1.1" 200 -
lab-1  | 172.18.0.1 - - [08/Sep/2025 16:13:20] "POST /upload HTTP/1.1" 200 -
lab-1  | 172.18.0.1 - - [08/Sep/2025 16:13:58] "GET / HTTP/1.1" 200 -
lab-1  | 172.18.0.4 - - [08/Sep/2025 16:13:58] "GET /login HTTP/1.1" 200 -
lab-1  | 172.18.0.1 - - [08/Sep/2025 16:14:04] "[33mGET /decode-login HTTP/1.1[0m" 404 -
lab-1  | 172.18.0.1 - - [08/Sep/2025 16:14:04] "GET /login HTTP/1.1" 200 -
lab-1  | 172.18.0.1 - - [08/Sep/2025 16:14:04] "POST /login HTTP/1.1" 200 -
lab-1  | 172.18.0.1 - - [08/Sep/2025 16:14:04] "GET /login HTTP/1.1" 200 -
lab-1  | 172.18.0.1 - - [08/Sep/2025 16:14:04] "POST /login HTTP/1.1" 200 -
lab-1  | 172.18.0.1 - - [08/Sep/2025 16:14:04] "GET /upload HTTP/1.1" 200 -
lab-1  | 172.18.0.1 - - [08/Sep/2025 16:14:04] "POST /upload HTTP/1.1" 200 -
lab-1  | 172.18.0.1 - - [08/Sep/2025 16:14:04] "POST /upload HTTP/1.1" 200 -
